genome_id	protein_id	EC
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_1	3.4.11.18
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_3	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_4	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_5	2.7.4.22
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_6	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_7	2.5.1.31
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_8	2.7.7.41
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_9	1.1.1.267
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_10	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_11	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_12	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_13	4.2.1.59
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_14	2.3.1.129
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_15	2.4.1.182
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_16	3.1.26.4
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_17	2.7.7.7
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_18	2.1.3.15,6.4.1.2
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_19	6.3.4.19
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_20	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_21	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_22	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_23	3.5.4.33
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_24	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_25	6.3.5.3
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_27	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_29	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_30	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_31	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_32	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_33	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_34	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_35	2.1.1.80
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_36	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_37	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_38	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_39	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_40	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_41	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_42	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_43	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_44	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_45	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_46	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_47	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_48	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_49	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_50	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_51	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_52	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_53	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_55	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_56	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_57	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_58	2.5.1.56
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_59	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_60	2.7.7.43
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_61	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_62	4.2.1.115
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_64	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_65	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000001_66	2.7.13.3
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000002_3	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000002_4	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_1	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_2	4.3.1.17
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_3	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_4	2.6.1.85
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_5	4.2.1.2
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_6	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_7	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_9	1.2.4.4
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_10	1.2.4.4
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_11	2.3.1.168
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_12	2.1.1.266
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_13	2.7.11.1
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_14	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_15	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_16	2.6.1.44,2.6.1.45,2.6.1.51
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_17	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_18	1.8.4.14
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_19	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_20	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_21	3.4.21.102
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_22	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_23	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_24	3.4.11.2
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_25	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_26	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_27	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_28	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_29	
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_30	1.4.1.2
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_31	1.3.5.2
TARA_ARC_108_MAG_00179	TARA_ARC_108_MAG_00179_000000000003_32	2.1.1.173,2.1.1.264
