#query	EC
TARA_ARC_108_MAG_00174_000000000001_2	-
TARA_ARC_108_MAG_00174_000000000001_3	-
TARA_ARC_108_MAG_00174_000000000001_4	-
TARA_ARC_108_MAG_00174_000000000001_5	-
TARA_ARC_108_MAG_00174_000000000001_6	-
TARA_ARC_108_MAG_00174_000000000001_7	-
TARA_ARC_108_MAG_00174_000000000001_8	-
TARA_ARC_108_MAG_00174_000000000001_9	-
TARA_ARC_108_MAG_00174_000000000002_1	1.3.8.1
TARA_ARC_108_MAG_00174_000000000002_2	-
TARA_ARC_108_MAG_00174_000000000002_3	1.14.15.3
TARA_ARC_108_MAG_00174_000000000002_4	-
TARA_ARC_108_MAG_00174_000000000002_5	-
TARA_ARC_108_MAG_00174_000000000002_6	-
TARA_ARC_108_MAG_00174_000000000002_7	-
TARA_ARC_108_MAG_00174_000000000002_8	-
TARA_ARC_108_MAG_00174_000000000002_9	-
TARA_ARC_108_MAG_00174_000000000002_10	2.1.1.266
TARA_ARC_108_MAG_00174_000000000002_11	-
TARA_ARC_108_MAG_00174_000000000002_12	-
TARA_ARC_108_MAG_00174_000000000002_13	-
TARA_ARC_108_MAG_00174_000000000002_14	3.1.1.83
TARA_ARC_108_MAG_00174_000000000002_15	3.1.1.5
TARA_ARC_108_MAG_00174_000000000002_16	-
TARA_ARC_108_MAG_00174_000000000002_17	1.1.1.399,1.1.1.95
TARA_ARC_108_MAG_00174_000000000002_18	1.1.3.15
TARA_ARC_108_MAG_00174_000000000002_19	-
TARA_ARC_108_MAG_00174_000000000002_22	-
TARA_ARC_108_MAG_00174_000000000002_23	-
TARA_ARC_108_MAG_00174_000000000002_24	2.4.2.7
TARA_ARC_108_MAG_00174_000000000002_25	-
TARA_ARC_108_MAG_00174_000000000002_26	-
TARA_ARC_108_MAG_00174_000000000002_27	-
TARA_ARC_108_MAG_00174_000000000002_28	1.6.5.5
TARA_ARC_108_MAG_00174_000000000002_29	6.2.1.48
TARA_ARC_108_MAG_00174_000000000002_30	-
TARA_ARC_108_MAG_00174_000000000002_31	6.4.1.4,6.4.1.5
TARA_ARC_108_MAG_00174_000000000002_32	4.2.1.57
TARA_ARC_108_MAG_00174_000000000002_33	-
TARA_ARC_108_MAG_00174_000000000002_34	6.4.1.5
TARA_ARC_108_MAG_00174_000000000002_35	-
TARA_ARC_108_MAG_00174_000000000002_36	-
TARA_ARC_108_MAG_00174_000000000002_37	-
TARA_ARC_108_MAG_00174_000000000002_38	-
TARA_ARC_108_MAG_00174_000000000002_39	-
TARA_ARC_108_MAG_00174_000000000002_40	-
TARA_ARC_108_MAG_00174_000000000002_41	-
TARA_ARC_108_MAG_00174_000000000002_42	-
TARA_ARC_108_MAG_00174_000000000002_43	-
TARA_ARC_108_MAG_00174_000000000002_44	-
TARA_ARC_108_MAG_00174_000000000002_45	-
TARA_ARC_108_MAG_00174_000000000002_46	-
TARA_ARC_108_MAG_00174_000000000002_47	-
TARA_ARC_108_MAG_00174_000000000002_49	-
TARA_ARC_108_MAG_00174_000000000002_50	3.1.3.3
TARA_ARC_108_MAG_00174_000000000002_51	-
TARA_ARC_108_MAG_00174_000000000002_52	-
TARA_ARC_108_MAG_00174_000000000002_53	5.4.3.2
TARA_ARC_108_MAG_00174_000000000002_54	-
TARA_ARC_108_MAG_00174_000000000002_55	-
TARA_ARC_108_MAG_00174_000000000002_56	4.1.1.65
TARA_ARC_108_MAG_00174_000000000002_57	-
TARA_ARC_108_MAG_00174_000000000002_58	-
TARA_ARC_108_MAG_00174_000000000002_59	3.1.3.100
TARA_ARC_108_MAG_00174_000000000002_60	-
TARA_ARC_108_MAG_00174_000000000002_61	1.17.99.6
TARA_ARC_108_MAG_00174_000000000002_62	4.2.1.136,5.1.99.6
TARA_ARC_108_MAG_00174_000000000002_63	-
TARA_ARC_108_MAG_00174_000000000002_64	3.5.1.28
TARA_ARC_108_MAG_00174_000000000002_65	-
TARA_ARC_108_MAG_00174_000000000002_66	2.5.1.75
TARA_ARC_108_MAG_00174_000000000002_67	-
TARA_ARC_108_MAG_00174_000000000002_68	-
TARA_ARC_108_MAG_00174_000000000002_69	-
TARA_ARC_108_MAG_00174_000000000002_70	-
TARA_ARC_108_MAG_00174_000000000002_71	-
TARA_ARC_108_MAG_00174_000000000002_72	6.3.4.4
TARA_ARC_108_MAG_00174_000000000002_73	-
TARA_ARC_108_MAG_00174_000000000002_74	-
TARA_ARC_108_MAG_00174_000000000002_75	-
TARA_ARC_108_MAG_00174_000000000002_76	-
TARA_ARC_108_MAG_00174_000000000002_77	-
TARA_ARC_108_MAG_00174_000000000002_78	-
TARA_ARC_108_MAG_00174_000000000002_80	2.8.1.6
TARA_ARC_108_MAG_00174_000000000002_81	2.3.1.47
TARA_ARC_108_MAG_00174_000000000002_82	2.1.1.197,3.1.1.85
TARA_ARC_108_MAG_00174_000000000002_83	2.1.1.197
TARA_ARC_108_MAG_00174_000000000002_84	6.3.3.3
TARA_ARC_108_MAG_00174_000000000002_85	-
TARA_ARC_108_MAG_00174_000000000002_86	-
TARA_ARC_108_MAG_00174_000000000002_87	-
TARA_ARC_108_MAG_00174_000000000003_2	2.3.1.16,2.3.1.174,2.3.1.223,2.3.1.9
TARA_ARC_108_MAG_00174_000000000003_3	6.2.1.30
TARA_ARC_108_MAG_00174_000000000003_4	1.14.13.149
TARA_ARC_108_MAG_00174_000000000003_5	-
TARA_ARC_108_MAG_00174_000000000003_6	1.14.13.149
TARA_ARC_108_MAG_00174_000000000003_7	-
TARA_ARC_108_MAG_00174_000000000003_8	-
TARA_ARC_108_MAG_00174_000000000003_9	1.2.1.91,3.3.2.12
TARA_ARC_108_MAG_00174_000000000003_10	-
TARA_ARC_108_MAG_00174_000000000003_11	-
TARA_ARC_108_MAG_00174_000000000003_12	-
TARA_ARC_108_MAG_00174_000000000003_13	-
TARA_ARC_108_MAG_00174_000000000003_14	-
TARA_ARC_108_MAG_00174_000000000003_15	-
TARA_ARC_108_MAG_00174_000000000003_16	-
TARA_ARC_108_MAG_00174_000000000003_17	-
TARA_ARC_108_MAG_00174_000000000003_18	-
TARA_ARC_108_MAG_00174_000000000003_19	-
TARA_ARC_108_MAG_00174_000000000003_20	-
TARA_ARC_108_MAG_00174_000000000003_21	-
TARA_ARC_108_MAG_00174_000000000003_22	-
TARA_ARC_108_MAG_00174_000000000003_23	-
TARA_ARC_108_MAG_00174_000000000003_24	-
TARA_ARC_108_MAG_00174_000000000003_25	6.3.5.6,6.3.5.7
TARA_ARC_108_MAG_00174_000000000003_26	-
TARA_ARC_108_MAG_00174_000000000003_27	-
TARA_ARC_108_MAG_00174_000000000003_28	-
TARA_ARC_108_MAG_00174_000000000003_29	-
TARA_ARC_108_MAG_00174_000000000003_30	-
TARA_ARC_108_MAG_00174_000000000003_31	4.1.2.48
TARA_ARC_108_MAG_00174_000000000003_32	-
TARA_ARC_108_MAG_00174_000000000003_33	4.2.1.17
TARA_ARC_108_MAG_00174_000000000003_34	-
TARA_ARC_108_MAG_00174_000000000003_35	-
TARA_ARC_108_MAG_00174_000000000003_36	-
TARA_ARC_108_MAG_00174_000000000003_37	-
TARA_ARC_108_MAG_00174_000000000004_1	2.5.1.72
TARA_ARC_108_MAG_00174_000000000004_2	-
TARA_ARC_108_MAG_00174_000000000004_3	-
TARA_ARC_108_MAG_00174_000000000004_4	-
TARA_ARC_108_MAG_00174_000000000004_5	-
TARA_ARC_108_MAG_00174_000000000004_6	-
TARA_ARC_108_MAG_00174_000000000004_7	-
TARA_ARC_108_MAG_00174_000000000004_8	3.1.2.23
TARA_ARC_108_MAG_00174_000000000004_9	3.6.4.12
TARA_ARC_108_MAG_00174_000000000004_10	3.6.4.12
TARA_ARC_108_MAG_00174_000000000004_11	3.1.22.4
TARA_ARC_108_MAG_00174_000000000004_12	-
TARA_ARC_108_MAG_00174_000000000004_13	6.1.1.12
TARA_ARC_108_MAG_00174_000000000004_14	-
TARA_ARC_108_MAG_00174_000000000004_15	-
TARA_ARC_108_MAG_00174_000000000004_16	1.1.1.22
TARA_ARC_108_MAG_00174_000000000004_17	5.1.3.2,5.1.3.5
TARA_ARC_108_MAG_00174_000000000004_18	3.5.4.33
TARA_ARC_108_MAG_00174_000000000004_19	6.3.5.2
TARA_ARC_108_MAG_00174_000000000004_20	1.1.1.205
TARA_ARC_108_MAG_00174_000000000004_21	3.1.11.6
TARA_ARC_108_MAG_00174_000000000004_22	6.2.1.17
TARA_ARC_108_MAG_00174_000000000004_23	-
TARA_ARC_108_MAG_00174_000000000004_24	2.3.3.13
TARA_ARC_108_MAG_00174_000000000005_1	2.3.2.13
TARA_ARC_108_MAG_00174_000000000005_2	-
TARA_ARC_108_MAG_00174_000000000005_3	-
TARA_ARC_108_MAG_00174_000000000005_5	-
TARA_ARC_108_MAG_00174_000000000005_7	2.6.1.85
TARA_ARC_108_MAG_00174_000000000005_8	2.7.1.39,3.1.3.3
TARA_ARC_108_MAG_00174_000000000005_9	1.8.4.10,1.8.4.8
TARA_ARC_108_MAG_00174_000000000005_10	-
TARA_ARC_108_MAG_00174_000000000005_11	-
TARA_ARC_108_MAG_00174_000000000005_12	3.6.4.12
TARA_ARC_108_MAG_00174_000000000005_13	-
TARA_ARC_108_MAG_00174_000000000005_14	-
TARA_ARC_108_MAG_00174_000000000005_15	-
TARA_ARC_108_MAG_00174_000000000005_16	-
TARA_ARC_108_MAG_00174_000000000005_17	-
TARA_ARC_108_MAG_00174_000000000005_18	2.3.1.207
TARA_ARC_108_MAG_00174_000000000005_19	3.6.4.13
TARA_ARC_108_MAG_00174_000000000005_20	6.2.1.3
TARA_ARC_108_MAG_00174_000000000005_21	-
TARA_ARC_108_MAG_00174_000000000005_22	-
TARA_ARC_108_MAG_00174_000000000005_23	-
TARA_ARC_108_MAG_00174_000000000005_24	-
TARA_ARC_108_MAG_00174_000000000005_25	-
TARA_ARC_108_MAG_00174_000000000005_27	-
TARA_ARC_108_MAG_00174_000000000005_28	-
TARA_ARC_108_MAG_00174_000000000005_29	-
TARA_ARC_108_MAG_00174_000000000005_30	-
TARA_ARC_108_MAG_00174_000000000005_31	-
TARA_ARC_108_MAG_00174_000000000005_32	-
TARA_ARC_108_MAG_00174_000000000005_33	-
TARA_ARC_108_MAG_00174_000000000005_35	-
TARA_ARC_108_MAG_00174_000000000005_36	-
TARA_ARC_108_MAG_00174_000000000005_37	3.1.13.5
TARA_ARC_108_MAG_00174_000000000005_38	-
TARA_ARC_108_MAG_00174_000000000005_39	-
TARA_ARC_108_MAG_00174_000000000005_40	2.7.7.7
TARA_ARC_108_MAG_00174_000000000005_41	-
TARA_ARC_108_MAG_00174_000000000005_42	5.1.3.15
TARA_ARC_108_MAG_00174_000000000005_43	-
TARA_ARC_108_MAG_00174_000000000005_44	5.1.3.2
TARA_ARC_108_MAG_00174_000000000005_45	-
TARA_ARC_108_MAG_00174_000000000005_46	-
TARA_ARC_108_MAG_00174_000000000005_47	-
TARA_ARC_108_MAG_00174_000000000005_48	-
TARA_ARC_108_MAG_00174_000000000005_49	-
TARA_ARC_108_MAG_00174_000000000005_51	-
TARA_ARC_108_MAG_00174_000000000005_52	-
TARA_ARC_108_MAG_00174_000000000005_53	6.3.5.4
TARA_ARC_108_MAG_00174_000000000005_54	-
TARA_ARC_108_MAG_00174_000000000005_55	2.4.1.21,3.2.1.1
TARA_ARC_108_MAG_00174_000000000005_56	-
TARA_ARC_108_MAG_00174_000000000005_57	-
TARA_ARC_108_MAG_00174_000000000005_58	-
TARA_ARC_108_MAG_00174_000000000005_59	-
TARA_ARC_108_MAG_00174_000000000005_60	-
TARA_ARC_108_MAG_00174_000000000005_61	-
TARA_ARC_108_MAG_00174_000000000005_62	-
TARA_ARC_108_MAG_00174_000000000005_65	-
TARA_ARC_108_MAG_00174_000000000005_67	-
TARA_ARC_108_MAG_00174_000000000005_68	2.1.1.163,2.1.1.201
TARA_ARC_108_MAG_00174_000000000005_70	-
TARA_ARC_108_MAG_00174_000000000005_73	-
TARA_ARC_108_MAG_00174_000000000005_75	2.4.1.268
TARA_ARC_108_MAG_00174_000000000005_76	4.1.1.35
TARA_ARC_108_MAG_00174_000000000005_77	-
TARA_ARC_108_MAG_00174_000000000005_78	-
TARA_ARC_108_MAG_00174_000000000005_79	-
TARA_ARC_108_MAG_00174_000000000005_80	-
TARA_ARC_108_MAG_00174_000000000005_81	2.4.1.349
TARA_ARC_108_MAG_00174_000000000005_83	-
TARA_ARC_108_MAG_00174_000000000005_84	-
TARA_ARC_108_MAG_00174_000000000005_88	-
TARA_ARC_108_MAG_00174_000000000005_89	-
TARA_ARC_108_MAG_00174_000000000005_90	-
TARA_ARC_108_MAG_00174_000000000005_91	-
TARA_ARC_108_MAG_00174_000000000005_92	-
TARA_ARC_108_MAG_00174_000000000005_93	-
TARA_ARC_108_MAG_00174_000000000005_94	-
TARA_ARC_108_MAG_00174_000000000005_95	-
TARA_ARC_108_MAG_00174_000000000005_96	-
TARA_ARC_108_MAG_00174_000000000005_97	4.2.1.79
TARA_ARC_108_MAG_00174_000000000005_98	-
TARA_ARC_108_MAG_00174_000000000005_99	-
TARA_ARC_108_MAG_00174_000000000005_100	4.2.1.117,4.2.1.3
TARA_ARC_108_MAG_00174_000000000006_1	-
TARA_ARC_108_MAG_00174_000000000006_2	-
TARA_ARC_108_MAG_00174_000000000006_4	-
TARA_ARC_108_MAG_00174_000000000006_5	-
TARA_ARC_108_MAG_00174_000000000006_6	-
TARA_ARC_108_MAG_00174_000000000006_7	-
TARA_ARC_108_MAG_00174_000000000006_8	-
TARA_ARC_108_MAG_00174_000000000006_9	-
TARA_ARC_108_MAG_00174_000000000006_10	-
TARA_ARC_108_MAG_00174_000000000006_11	-
TARA_ARC_108_MAG_00174_000000000006_12	-
TARA_ARC_108_MAG_00174_000000000006_13	-
TARA_ARC_108_MAG_00174_000000000006_14	3.6.3.25
TARA_ARC_108_MAG_00174_000000000007_1	-
TARA_ARC_108_MAG_00174_000000000007_2	-
TARA_ARC_108_MAG_00174_000000000007_3	-
TARA_ARC_108_MAG_00174_000000000007_4	-
TARA_ARC_108_MAG_00174_000000000007_5	-
TARA_ARC_108_MAG_00174_000000000007_6	-
TARA_ARC_108_MAG_00174_000000000007_7	-
TARA_ARC_108_MAG_00174_000000000008_1	2.3.3.13
TARA_ARC_108_MAG_00174_000000000008_2	-
TARA_ARC_108_MAG_00174_000000000008_3	2.3.1.128
TARA_ARC_108_MAG_00174_000000000008_4	-
TARA_ARC_108_MAG_00174_000000000008_5	-
TARA_ARC_108_MAG_00174_000000000008_6	-
TARA_ARC_108_MAG_00174_000000000009_2	-
TARA_ARC_108_MAG_00174_000000000009_3	-
TARA_ARC_108_MAG_00174_000000000009_4	-
TARA_ARC_108_MAG_00174_000000000009_5	2.5.1.16
TARA_ARC_108_MAG_00174_000000000009_6	3.1.2.6
TARA_ARC_108_MAG_00174_000000000009_7	-
TARA_ARC_108_MAG_00174_000000000009_8	-
TARA_ARC_108_MAG_00174_000000000009_9	-
TARA_ARC_108_MAG_00174_000000000009_10	-
TARA_ARC_108_MAG_00174_000000000009_11	5.99.1.2
