#query	EC
TARA_ARC_108_MAG_00139_000000000001_1	3.5.1.9
TARA_ARC_108_MAG_00139_000000000001_2	-
TARA_ARC_108_MAG_00139_000000000001_3	-
TARA_ARC_108_MAG_00139_000000000001_5	-
TARA_ARC_108_MAG_00139_000000000002_2	-
TARA_ARC_108_MAG_00139_000000000002_3	-
TARA_ARC_108_MAG_00139_000000000002_4	2.10.1.1
TARA_ARC_108_MAG_00139_000000000002_5	-
TARA_ARC_108_MAG_00139_000000000002_6	2.7.7.77
TARA_ARC_108_MAG_00139_000000000002_8	-
TARA_ARC_108_MAG_00139_000000000002_9	-
TARA_ARC_108_MAG_00139_000000000002_10	-
TARA_ARC_108_MAG_00139_000000000002_11	-
TARA_ARC_108_MAG_00139_000000000002_12	-
TARA_ARC_108_MAG_00139_000000000002_13	-
TARA_ARC_108_MAG_00139_000000000002_14	-
TARA_ARC_108_MAG_00139_000000000002_15	-
TARA_ARC_108_MAG_00139_000000000002_16	2.7.7.87
TARA_ARC_108_MAG_00139_000000000003_1	-
TARA_ARC_108_MAG_00139_000000000003_3	2.8.4.3
TARA_ARC_108_MAG_00139_000000000003_4	-
TARA_ARC_108_MAG_00139_000000000003_5	-
TARA_ARC_108_MAG_00139_000000000003_6	-
TARA_ARC_108_MAG_00139_000000000003_8	2.1.1.173,2.1.1.264
TARA_ARC_108_MAG_00139_000000000003_9	2.5.1.55
TARA_ARC_108_MAG_00139_000000000004_2	-
TARA_ARC_108_MAG_00139_000000000004_3	-
TARA_ARC_108_MAG_00139_000000000005_1	5.4.2.10
TARA_ARC_108_MAG_00139_000000000005_2	-
TARA_ARC_108_MAG_00139_000000000005_3	1.1.1.86
TARA_ARC_108_MAG_00139_000000000005_4	-
TARA_ARC_108_MAG_00139_000000000005_5	-
TARA_ARC_108_MAG_00139_000000000005_6	-
TARA_ARC_108_MAG_00139_000000000006_1	-
TARA_ARC_108_MAG_00139_000000000007_1	1.14.13.238
TARA_ARC_108_MAG_00139_000000000007_2	-
TARA_ARC_108_MAG_00139_000000000007_3	-
TARA_ARC_108_MAG_00139_000000000007_4	-
TARA_ARC_108_MAG_00139_000000000008_1	-
TARA_ARC_108_MAG_00139_000000000008_2	-
TARA_ARC_108_MAG_00139_000000000009_1	-
TARA_ARC_108_MAG_00139_000000000009_2	-
TARA_ARC_108_MAG_00139_000000000009_3	2.1.1.14
TARA_ARC_108_MAG_00139_000000000009_4	-
TARA_ARC_108_MAG_00139_000000000009_5	-
TARA_ARC_108_MAG_00139_000000000009_6	-
TARA_ARC_108_MAG_00139_000000000010_1	-
TARA_ARC_108_MAG_00139_000000000010_2	2.7.7.19,2.7.7.72
TARA_ARC_108_MAG_00139_000000000010_3	-
TARA_ARC_108_MAG_00139_000000000010_4	-
TARA_ARC_108_MAG_00139_000000000011_1	-
TARA_ARC_108_MAG_00139_000000000011_2	1.5.3.1
