#query	EC
TARA_ARC_108_MAG_00080_000000000001_1	-
TARA_ARC_108_MAG_00080_000000000001_2	4.99.1.1,4.99.1.9
TARA_ARC_108_MAG_00080_000000000001_3	-
TARA_ARC_108_MAG_00080_000000000001_4	-
TARA_ARC_108_MAG_00080_000000000001_5	-
TARA_ARC_108_MAG_00080_000000000001_6	-
TARA_ARC_108_MAG_00080_000000000001_7	-
TARA_ARC_108_MAG_00080_000000000001_8	2.5.1.75
TARA_ARC_108_MAG_00080_000000000001_9	-
TARA_ARC_108_MAG_00080_000000000001_10	3.5.1.28
TARA_ARC_108_MAG_00080_000000000001_11	-
TARA_ARC_108_MAG_00080_000000000001_12	4.2.1.136,5.1.99.6
TARA_ARC_108_MAG_00080_000000000001_13	1.17.99.6
TARA_ARC_108_MAG_00080_000000000001_14	-
TARA_ARC_108_MAG_00080_000000000001_15	4.1.1.37
TARA_ARC_108_MAG_00080_000000000002_1	-
TARA_ARC_108_MAG_00080_000000000002_2	-
TARA_ARC_108_MAG_00080_000000000002_3	-
TARA_ARC_108_MAG_00080_000000000002_5	-
TARA_ARC_108_MAG_00080_000000000003_2	-
TARA_ARC_108_MAG_00080_000000000003_3	-
TARA_ARC_108_MAG_00080_000000000003_4	2.5.1.18
TARA_ARC_108_MAG_00080_000000000003_5	-
TARA_ARC_108_MAG_00080_000000000003_6	-
TARA_ARC_108_MAG_00080_000000000003_7	-
TARA_ARC_108_MAG_00080_000000000003_8	-
TARA_ARC_108_MAG_00080_000000000003_9	3.8.1.2
TARA_ARC_108_MAG_00080_000000000003_10	-
TARA_ARC_108_MAG_00080_000000000003_11	-
TARA_ARC_108_MAG_00080_000000000003_12	3.1.26.12
TARA_ARC_108_MAG_00080_000000000003_13	5.4.99.24
TARA_ARC_108_MAG_00080_000000000004_2	-
TARA_ARC_108_MAG_00080_000000000004_4	-
TARA_ARC_108_MAG_00080_000000000004_5	-
TARA_ARC_108_MAG_00080_000000000004_6	-
TARA_ARC_108_MAG_00080_000000000004_7	-
TARA_ARC_108_MAG_00080_000000000004_8	3.1.3.27
TARA_ARC_108_MAG_00080_000000000004_10	-
TARA_ARC_108_MAG_00080_000000000004_11	-
TARA_ARC_108_MAG_00080_000000000004_12	2.4.2.1,2.4.2.2
TARA_ARC_108_MAG_00080_000000000004_13	-
TARA_ARC_108_MAG_00080_000000000004_14	-
TARA_ARC_108_MAG_00080_000000000004_15	-
TARA_ARC_108_MAG_00080_000000000004_16	1.14.11.47
TARA_ARC_108_MAG_00080_000000000004_17	4.6.1.1,4.6.1.2
TARA_ARC_108_MAG_00080_000000000004_18	4.3.2.2
TARA_ARC_108_MAG_00080_000000000004_19	-
TARA_ARC_108_MAG_00080_000000000004_20	2.8.1.13
TARA_ARC_108_MAG_00080_000000000004_21	5.4.99.20
TARA_ARC_108_MAG_00080_000000000004_22	1.1.1.42
TARA_ARC_108_MAG_00080_000000000004_24	-
TARA_ARC_108_MAG_00080_000000000004_25	-
TARA_ARC_108_MAG_00080_000000000004_26	-
TARA_ARC_108_MAG_00080_000000000004_28	-
TARA_ARC_108_MAG_00080_000000000004_29	2.3.2.29
TARA_ARC_108_MAG_00080_000000000004_30	2.3.2.6
TARA_ARC_108_MAG_00080_000000000004_31	1.8.1.9
TARA_ARC_108_MAG_00080_000000000004_32	-
TARA_ARC_108_MAG_00080_000000000004_33	-
TARA_ARC_108_MAG_00080_000000000004_35	-
TARA_ARC_108_MAG_00080_000000000004_36	-
TARA_ARC_108_MAG_00080_000000000004_37	-
TARA_ARC_108_MAG_00080_000000000004_38	3.5.1.1
TARA_ARC_108_MAG_00080_000000000004_39	-
TARA_ARC_108_MAG_00080_000000000004_40	2.8.1.8
TARA_ARC_108_MAG_00080_000000000004_41	2.3.1.181
TARA_ARC_108_MAG_00080_000000000004_42	-
TARA_ARC_108_MAG_00080_000000000004_43	3.4.16.4
TARA_ARC_108_MAG_00080_000000000004_44	-
TARA_ARC_108_MAG_00080_000000000004_45	-
TARA_ARC_108_MAG_00080_000000000004_46	3.4.16.4
TARA_ARC_108_MAG_00080_000000000004_47	2.1.1.177
TARA_ARC_108_MAG_00080_000000000004_48	-
TARA_ARC_108_MAG_00080_000000000004_49	2.7.7.18,3.5.4.4
TARA_ARC_108_MAG_00080_000000000004_50	2.7.7.7
TARA_ARC_108_MAG_00080_000000000004_51	-
TARA_ARC_108_MAG_00080_000000000004_52	6.1.1.4
TARA_ARC_108_MAG_00080_000000000004_53	-
TARA_ARC_108_MAG_00080_000000000004_54	-
TARA_ARC_108_MAG_00080_000000000004_55	-
TARA_ARC_108_MAG_00080_000000000004_56	2.1.1.166
TARA_ARC_108_MAG_00080_000000000004_57	-
TARA_ARC_108_MAG_00080_000000000004_58	2.5.1.15
TARA_ARC_108_MAG_00080_000000000004_59	5.4.2.10
TARA_ARC_108_MAG_00080_000000000004_60	5.3.1.1
TARA_ARC_108_MAG_00080_000000000004_61	-
TARA_ARC_108_MAG_00080_000000000004_62	-
TARA_ARC_108_MAG_00080_000000000004_63	-
TARA_ARC_108_MAG_00080_000000000004_64	-
TARA_ARC_108_MAG_00080_000000000004_65	3.1.3.16
TARA_ARC_108_MAG_00080_000000000004_66	-
TARA_ARC_108_MAG_00080_000000000004_67	-
TARA_ARC_108_MAG_00080_000000000004_68	5.99.1.2
TARA_ARC_108_MAG_00080_000000000004_69	-
TARA_ARC_108_MAG_00080_000000000005_1	-
TARA_ARC_108_MAG_00080_000000000005_3	-
TARA_ARC_108_MAG_00080_000000000005_4	-
TARA_ARC_108_MAG_00080_000000000005_5	3.2.1.28
TARA_ARC_108_MAG_00080_000000000006_1	5.99.1.3
TARA_ARC_108_MAG_00080_000000000006_2	-
TARA_ARC_108_MAG_00080_000000000006_3	2.7.7.7
TARA_ARC_108_MAG_00080_000000000006_4	-
TARA_ARC_108_MAG_00080_000000000007_1	-
TARA_ARC_108_MAG_00080_000000000007_2	-
TARA_ARC_108_MAG_00080_000000000007_3	-
TARA_ARC_108_MAG_00080_000000000008_1	3.6.4.13
TARA_ARC_108_MAG_00080_000000000009_1	-
TARA_ARC_108_MAG_00080_000000000009_2	-
TARA_ARC_108_MAG_00080_000000000009_3	2.7.7.49
TARA_ARC_108_MAG_00080_000000000009_4	-
TARA_ARC_108_MAG_00080_000000000009_5	-
TARA_ARC_108_MAG_00080_000000000010_1	1.5.5.1
TARA_ARC_108_MAG_00080_000000000010_2	-
TARA_ARC_108_MAG_00080_000000000010_3	-
TARA_ARC_108_MAG_00080_000000000010_4	-
TARA_ARC_108_MAG_00080_000000000010_5	-
